,id,command_de,label_de,command_en,label_en
0,MyCloud.OpenArea.Init.Utterance,kannst du letzten über myCloud öffnen,{Template} {Template} {MyCloudArea} {Template} {Template} {Template},please go to my shots on myCloud,{Template} {Template} {Template} {MyCloudArea} {MyCloudArea} {Template} {Template}
1,MyCloud.OpenArea.Init.Utterance,kann ich bitte kurz Bilder Galerie auf myCloud ansehen,{Template} {Template} {Template} {Template} {MyCloudArea} {MyCloudArea} {Template} {Template} {Template},can you please show me my shots on myCloud,{Template} {Template} {Template} {Template} {Template} {MyCloudArea} {MyCloudArea} {Template} {Template}
2,MyCloud.OpenArea.Init.Utterance,Favorit auf myCloud anzeigen,{MyCloudArea} {Template} {Template} {Template},go to photo album on myCloud,{Template} {Template} {MyCloudArea} {MyCloudArea} {Template} {Template}
3,MyCloud.OpenArea.Init.Utterance,zeigst du mir bitte Bilder Alben bei myCloud an,{Template} {Template} {Template} {Template} {MyCloudArea} {MyCloudArea} {Template} {Template} {Template},open myCloud and go to favourites,{Template} {Template} {Template} {Template} {Template} {MyCloudArea}
4,MyCloud.OpenArea.Init.Utterance,Bilder Alben auf myCloud anzeigen,{MyCloudArea} {MyCloudArea} {Template} {Template} {Template},could you please open marked photos with myCloud,{Template} {Template} {Template} {Template} {MyCloudArea} {MyCloudArea} {Template} {Template}
5,MyCloud.OpenArea.Init.Utterance,öffne den Ordner Bilder Galerie auf myCloud,{Template} {Template} {Template} {MyCloudArea} {MyCloudArea} {Template} {Template},I wanna look at my library on myCloud,{Template} {Template} {Template} {Template} {Template} {MyCloudArea} {Template} {Template}
6,MyCloud.OpenArea.Init.Utterance,gehe zu letzte auf myCloud,{Template} {Template} {MyCloudArea} {Template} {Template},please go to folders on myCloud,{Template} {Template} {Template} {MyCloudArea} {Template} {Template}
7,MyCloud.OpenArea.Init.Utterance,öffne mal Bilderalben über myCloud,{Template} {Template} {MyCloudArea} {Template} {Template},I want to see photo stream on myCloud,{Template} {Template} {Template} {Template} {MyCloudArea} {MyCloudArea} {Template} {Template}
8,MyCloud.OpenArea.Init.Utterance,würdest du bitte auf myCloud zu Sammlung gehen,{Template} {Template} {Template} {Template} {Template} {Template} {MyCloudArea} {Template},go to photostream on myCloud,{Template} {Template} {MyCloudArea} {Template} {Template}
9,MyCloud.OpenArea.Init.Utterance,Bilder Galerie auf myCloud zeigen,{MyCloudArea} {MyCloudArea} {Template} {Template} {Template},open newest uploads on myCloud,{Template} {MyCloudArea} {MyCloudArea} {Template} {Template}
