id,language,text
SmartHome.StartScene.Init.Utterance,en,please activate {SmartHomeSceneName} scene
Tv.VolumeDown.Init.Utterance,en,I want you to lower the volume
Localsearch.WeatherInfo.Init.Utterance,en,I would like some info about the weather on {LocalsearchTimeStampStartDay}
Router.SwitchOnGuestWiFi.Init.Utterance,en,can you activate the guest Wi-Fi for {RouterWiFiDuration}
Tv.TvSearch.Init.Utterance,en,is there the movie {VodName}
SmartHome.SwitchOnDevice.Init.Utterance,en,turn on the device {SmartHomeDeviceName} in the {SmartHomeDeviceLocation}
Tv.RadioChannelChange.Init.Utterance,en,station change
Tv.InitiateService.Init.Utterance,en,I'd like the TV to turn on
Router.SwitchOffWiFi.Init.Utterance,en,I want you to turn off Wi-Fi
Router.ShowWiFiPassword.Init.Utterance,en,could you give me the Wi-Fi password
SmartHome.SwitchOnDevice.Init.Utterance,en,I want to turn on device {SmartHomeDeviceName}
Router.ShowWiFiPassword.Init.Utterance,en,show Wi-Fi password on TV
Tv.OpenApplication.Init.Utterance,en,please open an app
Router.ShowGuestWiFiPassword.Init.Utterance,en,let me see the guest Wi-Fi password
SmartHome.StartScene.Init.Utterance,en,I'd like to turn on {SmartHomeSceneName} scene
Tv.NavigationOK.Init.Utterance,en,selection
Tv.OpenApplication.Init.Utterance,en,got to {AppName}
Tv.TrickModeSkip.Init.Utterance,en,I want you to fast-forward {Duration}
Localsearch.TemperatureInfo.Init.Utterance,en,is it going to be hot in {LocalsearchLocation} at {LocalsearchTimeStampStartTime}
Tv.VolumeMute.Init.Utterance,en,mute
Localsearch.RainInfo.Init.Utterance,en,do you think it will rain {LocalsearchTimeStampStartDay}
Localsearch.RainInfo.Init.Utterance,en,I would like to know how much rain there will be {LocalsearchTimeStampStartDay}
Router.SwitchOnWiFi.Init.Utterance,en,turn the Wi-Fi on please
Tv.TvSearch.Init.Utterance,en,do you have {SportSportsName}
Router.ShowWiFiPassword.Init.Utterance,en,Wi-Fi password
Localsearch.TemperatureInfo.Init.Utterance,en,how warm is it
Tv.GenericExitToTv.Init.Utterance,en,I want to go back to watching TV
Tv.VolumeMute.Init.Utterance,en,silence
Localsearch.RainInfo.Init.Utterance,en,I'd like to know how heavy it is raining
Tv.TvRecommendations.Init.Utterance,en,what should I watch today
Localsearch.TemperatureInfo.Init.Utterance,en,I want you to tell me how warm it is
Tv.InitiateService.Init.Utterance,en,please switch on the TV
Tv.OpenApplication.Init.Utterance,en,I need an app
Router.SwitchOnWiFi.Init.Utterance,en,Wi-Fi
SmartHome.StartScene.Init.Utterance,en,turn on the {SmartHomeSceneName} scene
Router.SwitchOffWiFi.Init.Utterance,en,I would like Wi-Fi off
Tv.SkipCommercial.Init.Utterance,en,can you skip the commercial please
Router.SwitchOffWiFi.Init.Utterance,en,please turn off the internet
Router.ShowWiFiPassword.Init.Utterance,en,please show me the Wi-Fi password on the TV
Router.SwitchOnGuestWiFi.Init.Utterance,en,I would like you to turn on the guest Wi-Fi for {RouterWiFiDuration}
